epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1077,2.65503,3.60335,0.0093,0.58012,0.11686,0.12801,0.05212,2.73621,3.19163,0.00995,9.88235e-05,9.88235e-05,0.0803341
2,42.8545,2.43975,2.44518,0.00729,0.62476,0.24158,0.25318,0.12672,2.35507,2.23984,0.00761,0.000197511,0.000197511,0.0604328
3,60.3936,2.3116,2.13642,0.00654,0.56707,0.37103,0.34657,0.16575,2.30015,2.03732,0.00731,0.000294879,0.000294879,0.0405302
4,77.646,2.25547,1.93262,0.0065,0.57988,0.33993,0.33751,0.17087,2.21881,2.042,0.00685,0.000390927,0.000390927,0.0206262
5,94.9194,2.17573,1.83034,0.00612,0.60482,0.38056,0.40096,0.2171,2.06549,1.595,0.00608,0.000485655,0.000485655,0.000720949
6,112.758,2.22396,1.80012,0.00604,0.61706,0.45042,0.43287,0.23055,2.07987,1.50873,0.00612,0.0004835,0.0004835,0.0004835
7,131.08,2.21494,1.67112,0.00569,0.66236,0.44884,0.47485,0.24538,2.10049,1.49849,0.00637,0.0004802,0.0004802,0.0004802
8,149.063,2.2113,1.64139,0.00563,0.66294,0.45862,0.44978,0.2295,2.08507,1.52796,0.00618,0.0004769,0.0004769,0.0004769
9,166.478,2.1576,1.58048,0.00556,0.65097,0.4554,0.46066,0.25105,2.05179,1.40223,0.00604,0.0004736,0.0004736,0.0004736
10,184.312,2.11973,1.57486,0.00569,0.65924,0.49181,0.49775,0.25608,2.09572,1.39493,0.00615,0.0004703,0.0004703,0.0004703
11,202.132,2.14676,1.51272,0.00549,0.68583,0.50078,0.48995,0.25031,2.04558,1.37441,0.00596,0.000467,0.000467,0.000467
12,219.718,2.1119,1.49286,0.00532,0.64791,0.47915,0.48293,0.23545,2.1295,1.70689,0.0061,0.0004637,0.0004637,0.0004637
13,237.273,2.11813,1.45718,0.00539,0.71539,0.51966,0.53637,0.27117,2.12738,1.30747,0.00645,0.0004604,0.0004604,0.0004604
14,255.475,2.11896,1.45906,0.00542,0.68489,0.53826,0.5386,0.26902,2.10467,1.32419,0.00637,0.0004571,0.0004571,0.0004571
15,273.279,2.08915,1.3898,0.00508,0.7312,0.52629,0.55251,0.2792,2.09109,1.24408,0.00602,0.0004538,0.0004538,0.0004538
16,290.962,2.05321,1.33534,0.00506,0.75784,0.51987,0.56736,0.31604,1.92518,1.21424,0.00536,0.0004505,0.0004505,0.0004505
17,308.638,1.9906,1.33715,0.00509,0.73513,0.54111,0.55792,0.30038,2.02302,1.23,0.00585,0.0004472,0.0004472,0.0004472
18,326.441,2.05997,1.34808,0.00502,0.73852,0.54364,0.57295,0.30317,1.99117,1.21522,0.00569,0.0004439,0.0004439,0.0004439
19,343.869,1.99124,1.30906,0.00509,0.75564,0.55913,0.56499,0.29695,2.00984,1.15459,0.0059,0.0004406,0.0004406,0.0004406
20,361.648,2.02946,1.36312,0.00496,0.7421,0.53907,0.57327,0.29646,2.05822,1.20801,0.00606,0.0004373,0.0004373,0.0004373
21,379.21,1.99156,1.29404,0.00489,0.768,0.55354,0.58957,0.30992,2.03338,1.15333,0.00573,0.000434,0.000434,0.000434
22,396.895,1.93909,1.27811,0.00495,0.79129,0.55703,0.5912,0.31749,1.96147,1.14016,0.00547,0.0004307,0.0004307,0.0004307
23,414.691,1.98131,1.29453,0.00512,0.75289,0.5638,0.59109,0.3204,1.92057,1.16329,0.00525,0.0004274,0.0004274,0.0004274
24,432.626,2.03304,1.27967,0.00488,0.71499,0.57732,0.57932,0.31252,1.91009,1.16445,0.00529,0.0004241,0.0004241,0.0004241
25,450.258,1.99522,1.30306,0.00498,0.74759,0.56523,0.60365,0.30626,2.00392,1.16045,0.00573,0.0004208,0.0004208,0.0004208
26,468.092,1.97661,1.25254,0.00476,0.72396,0.57228,0.63227,0.33835,1.90892,1.10747,0.0052,0.0004175,0.0004175,0.0004175
27,485.966,1.95453,1.24274,0.00457,0.69554,0.57552,0.64015,0.33495,1.98893,1.04707,0.00559,0.0004142,0.0004142,0.0004142
28,503.713,1.98052,1.22904,0.00491,0.70472,0.62002,0.64336,0.35755,1.89305,1.08096,0.00512,0.0004109,0.0004109,0.0004109
29,521.606,1.96711,1.23461,0.00468,0.71064,0.57649,0.62744,0.33866,1.92837,1.08094,0.00537,0.0004076,0.0004076,0.0004076
30,539.484,1.91911,1.18228,0.00472,0.62844,0.62563,0.62876,0.34344,1.91832,1.01318,0.00531,0.0004043,0.0004043,0.0004043
31,557.2,1.94076,1.18018,0.00471,0.64856,0.62256,0.63439,0.34508,1.88491,1.01246,0.00507,0.000401,0.000401,0.000401
32,574.85,1.96824,1.18513,0.00474,0.64845,0.61372,0.63508,0.33642,1.94917,1.05078,0.0052,0.0003977,0.0003977,0.0003977
33,592.548,1.94386,1.15804,0.00472,0.70399,0.62105,0.64881,0.34609,1.85913,1.0352,0.00509,0.0003944,0.0003944,0.0003944
34,610.598,1.91652,1.15477,0.00452,0.70005,0.6246,0.6499,0.33856,1.89912,1.0367,0.00529,0.0003911,0.0003911,0.0003911
35,628.594,1.93132,1.12198,0.00442,0.69361,0.63384,0.67146,0.35574,1.91405,1.00023,0.00519,0.0003878,0.0003878,0.0003878
36,646.274,1.90755,1.15079,0.00465,0.73162,0.61886,0.6649,0.35464,1.85386,1.03563,0.00506,0.0003845,0.0003845,0.0003845
37,663.969,1.92241,1.17104,0.00447,0.65427,0.65036,0.65908,0.36275,1.81702,1.0758,0.00475,0.0003812,0.0003812,0.0003812
38,681.759,1.91982,1.18225,0.00447,0.69308,0.66256,0.66326,0.34975,1.90818,0.99979,0.00531,0.0003779,0.0003779,0.0003779
39,699.741,1.88048,1.15214,0.00436,0.77321,0.61652,0.67408,0.34637,2.02498,1.01544,0.00571,0.0003746,0.0003746,0.0003746
40,717.786,1.89574,1.12571,0.00438,0.741,0.6301,0.67373,0.36664,1.84031,1.01569,0.00487,0.0003713,0.0003713,0.0003713
41,735.555,1.89756,1.11828,0.0045,0.70181,0.64371,0.67108,0.35862,1.87725,0.98302,0.00504,0.000368,0.000368,0.000368
42,753.294,1.9289,1.14897,0.00456,0.65125,0.64573,0.66578,0.36995,1.81982,0.97685,0.00487,0.0003647,0.0003647,0.0003647
43,771.058,1.85961,1.1177,0.00449,0.7022,0.66152,0.6796,0.36843,1.88608,0.97992,0.00497,0.0003614,0.0003614,0.0003614
44,788.699,1.87544,1.09284,0.00416,0.70285,0.66139,0.67454,0.38028,1.76034,0.94017,0.0044,0.0003581,0.0003581,0.0003581
45,806.708,1.86894,1.12866,0.00437,0.70774,0.67785,0.68977,0.39362,1.72856,0.9579,0.00442,0.0003548,0.0003548,0.0003548
46,824.613,1.82152,1.07248,0.00443,0.66713,0.68434,0.71208,0.40914,1.73164,0.94935,0.00448,0.0003515,0.0003515,0.0003515
47,842.69,1.83278,1.07677,0.0042,0.72151,0.67729,0.69899,0.4009,1.75444,0.95029,0.00456,0.0003482,0.0003482,0.0003482
48,860.955,1.84946,1.08156,0.00427,0.7515,0.66363,0.70871,0.41163,1.71979,0.92412,0.00422,0.0003449,0.0003449,0.0003449
49,879.139,1.83543,1.05955,0.00406,0.71507,0.64498,0.68302,0.41085,1.71198,0.93099,0.00422,0.0003416,0.0003416,0.0003416
50,896.93,1.83545,1.05982,0.00408,0.77574,0.67639,0.73855,0.42095,1.69478,0.89339,0.00427,0.0003383,0.0003383,0.0003383
51,915.142,1.83689,1.04383,0.00409,0.71612,0.70469,0.72497,0.41284,1.71294,0.91451,0.00427,0.000335,0.000335,0.000335
52,932.951,1.83203,1.04506,0.00423,0.74395,0.67495,0.71922,0.407,1.75483,0.94503,0.00446,0.0003317,0.0003317,0.0003317
53,951.097,1.85123,1.09748,0.00413,0.71435,0.66611,0.70431,0.4195,1.65942,0.93378,0.00404,0.0003284,0.0003284,0.0003284
54,968.991,1.80322,1.06305,0.00402,0.75841,0.66092,0.72683,0.42132,1.69333,0.89932,0.00411,0.0003251,0.0003251,0.0003251
55,987.171,1.83832,1.05678,0.00393,0.71056,0.70514,0.73337,0.42832,1.66279,0.87724,0.00397,0.0003218,0.0003218,0.0003218
56,1005.45,1.8176,1.02514,0.0039,0.7532,0.68341,0.73039,0.42636,1.66327,0.89812,0.00393,0.0003185,0.0003185,0.0003185
57,1023.32,1.81455,1.03828,0.00397,0.69306,0.68935,0.7148,0.41122,1.70028,0.913,0.00411,0.0003152,0.0003152,0.0003152
58,1041.07,1.81995,1.06783,0.00422,0.72776,0.67204,0.71446,0.42064,1.67915,0.90486,0.00407,0.0003119,0.0003119,0.0003119
59,1059.43,1.82353,1.06871,0.00431,0.71178,0.69507,0.72487,0.40208,1.74639,0.87499,0.00442,0.0003086,0.0003086,0.0003086
60,1077.18,1.80285,1.03232,0.0042,0.74619,0.6892,0.7279,0.41933,1.68928,0.88059,0.0041,0.0003053,0.0003053,0.0003053
61,1094.93,1.78269,1.03764,0.00409,0.7899,0.68794,0.74733,0.43422,1.6511,0.84722,0.00412,0.000302,0.000302,0.000302
62,1112.53,1.79088,0.99857,0.00404,0.79253,0.68638,0.75041,0.44635,1.62448,0.85872,0.00388,0.0002987,0.0002987,0.0002987
63,1130.09,1.75576,0.97036,0.00394,0.79398,0.70303,0.7613,0.44199,1.63252,0.86299,0.00397,0.0002954,0.0002954,0.0002954
64,1147.54,1.78338,0.98077,0.0039,0.77184,0.70671,0.7548,0.45283,1.6204,0.84025,0.00389,0.0002921,0.0002921,0.0002921
65,1165.19,1.79769,1.00176,0.00379,0.7266,0.70371,0.73941,0.44606,1.6151,0.8579,0.00384,0.0002888,0.0002888,0.0002888
66,1182.92,1.74023,0.97342,0.00382,0.71434,0.70551,0.73129,0.44439,1.58648,0.84857,0.00379,0.0002855,0.0002855,0.0002855
67,1200.37,1.71114,0.96409,0.00394,0.73783,0.71773,0.74108,0.44445,1.61698,0.84051,0.00383,0.0002822,0.0002822,0.0002822
68,1218.43,1.82674,1.02969,0.00402,0.72386,0.69668,0.73584,0.44523,1.60952,0.88117,0.00375,0.0002789,0.0002789,0.0002789
69,1236.03,1.74196,0.97516,0.00377,0.72365,0.70449,0.74806,0.46221,1.5897,0.84046,0.00368,0.0002756,0.0002756,0.0002756
70,1254.15,1.74002,0.99319,0.00391,0.70787,0.71732,0.73516,0.43707,1.59258,0.85408,0.00383,0.0002723,0.0002723,0.0002723
71,1271.72,1.7066,0.9705,0.00386,0.73855,0.71395,0.74894,0.44071,1.63953,0.83732,0.00398,0.000269,0.000269,0.000269
