epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5624,2.56452,3.64382,0.00913,0.3512,0.15692,0.12275,0.05876,2.47947,2.85325,0.0089,0.000329412,0.000329412,0.0673882
2,42.2485,2.46877,2.42374,0.00728,0.45956,0.29511,0.24251,0.10878,2.49692,2.24096,0.00859,0.000658371,0.000658371,0.0343839
3,60.1338,2.36716,2.13461,0.00703,0.55055,0.31365,0.30046,0.13715,2.32435,2.50574,0.00767,0.00098293,0.00098293,0.00137509
4,77.7456,2.33534,1.99252,0.00691,0.57218,0.32843,0.32065,0.14607,2.284,2.07933,0.00761,0.0009802,0.0009802,0.0009802
5,95.0424,2.26105,1.89301,0.00656,0.51543,0.3701,0.33327,0.17285,2.21917,1.7386,0.00703,0.0009736,0.0009736,0.0009736
6,112.503,2.3246,1.8385,0.00662,0.75102,0.34979,0.38648,0.18054,2.28274,1.9379,0.00735,0.000967,0.000967,0.000967
7,129.913,2.28674,1.76957,0.00619,0.60747,0.45114,0.43618,0.21079,2.22058,1.55723,0.00723,0.0009604,0.0009604,0.0009604
8,147.572,2.27227,1.71997,0.00609,0.57775,0.40716,0.4127,0.19028,2.222,2.24965,0.00715,0.0009538,0.0009538,0.0009538
9,164.944,2.27529,1.66341,0.00622,0.68117,0.4406,0.45627,0.2369,2.14895,1.42742,0.00658,0.0009472,0.0009472,0.0009472
10,182.281,2.20537,1.62381,0.00632,0.71712,0.45376,0.48468,0.24393,2.17039,1.35762,0.00665,0.0009406,0.0009406,0.0009406
11,199.643,2.24744,1.56882,0.00607,0.66474,0.47139,0.48786,0.25321,2.10319,1.38348,0.00644,0.000934,0.000934,0.000934
12,216.933,2.21192,1.52927,0.00589,0.6775,0.46834,0.48831,0.23584,2.17532,1.38576,0.007,0.0009274,0.0009274,0.0009274
13,234.239,2.17535,1.48969,0.00571,0.69546,0.51333,0.51379,0.25042,2.17129,1.3591,0.00653,0.0009208,0.0009208,0.0009208
14,251.452,2.19655,1.48958,0.00584,0.67482,0.48498,0.49042,0.23667,2.18306,1.35874,0.00651,0.0009142,0.0009142,0.0009142
15,268.581,2.17332,1.44703,0.0056,0.5331,0.53649,0.53313,0.26549,2.14178,1.26446,0.00666,0.0009076,0.0009076,0.0009076
16,285.973,2.1268,1.37108,0.00553,0.7472,0.51834,0.56539,0.28826,2.04717,1.29202,0.00598,0.000901,0.000901,0.000901
17,304.04,2.08635,1.40746,0.00564,0.71153,0.51843,0.5458,0.26539,2.13756,1.27497,0.00655,0.0008944,0.0008944,0.0008944
18,322.045,2.17909,1.41819,0.00564,0.61275,0.53274,0.55204,0.27178,2.12289,1.267,0.00645,0.0008878,0.0008878,0.0008878
19,339.22,2.10114,1.35746,0.00567,0.75883,0.51607,0.57299,0.28874,2.09343,1.20899,0.00605,0.0008812,0.0008812,0.0008812
20,356.466,2.12501,1.41175,0.00545,0.69802,0.49829,0.53291,0.26595,2.13288,1.24419,0.00622,0.0008746,0.0008746,0.0008746
21,373.527,2.09681,1.37707,0.00534,0.63696,0.58119,0.5598,0.27135,2.11018,1.27833,0.00621,0.000868,0.000868,0.000868
22,390.655,2.03425,1.32436,0.00549,0.76204,0.54757,0.58825,0.30572,2.03209,1.15025,0.00595,0.0008614,0.0008614,0.0008614
23,408.205,2.08838,1.34463,0.00569,0.62288,0.54741,0.56907,0.27024,2.12984,1.2288,0.0062,0.0008548,0.0008548,0.0008548
24,426.072,2.11723,1.30978,0.00532,0.61454,0.54794,0.58521,0.32014,1.95868,1.19168,0.00545,0.0008482,0.0008482,0.0008482
25,443.803,2.06202,1.34444,0.00532,0.60905,0.55103,0.57881,0.29468,2.07644,1.17242,0.00585,0.0008416,0.0008416,0.0008416
26,461.708,2.05898,1.2799,0.00513,0.6505,0.57682,0.60471,0.29448,2.05826,1.16239,0.00622,0.000835,0.000835,0.000835
27,479.011,2.02406,1.30116,0.005,0.62659,0.59355,0.63027,0.30946,2.0175,1.11471,0.00595,0.0008284,0.0008284,0.0008284
28,496.393,2.08265,1.29396,0.00541,0.64974,0.59988,0.63417,0.32457,1.96152,1.11796,0.00574,0.0008218,0.0008218,0.0008218
29,513.909,2.06484,1.27454,0.00512,0.70774,0.59054,0.6257,0.30885,2.00767,1.15391,0.00585,0.0008152,0.0008152,0.0008152
30,531.245,1.99645,1.2147,0.00515,0.70455,0.5882,0.63706,0.31298,1.98801,1.10432,0.00591,0.0008086,0.0008086,0.0008086
31,548.633,2.01964,1.22512,0.00507,0.62867,0.63623,0.63345,0.32857,1.95985,1.03288,0.00566,0.000802,0.000802,0.000802
32,566.072,2.03918,1.22816,0.00519,0.65867,0.60654,0.63287,0.32233,1.96368,1.13526,0.00548,0.0007954,0.0007954,0.0007954
33,583.444,2.0069,1.2009,0.00515,0.66237,0.62382,0.63906,0.32618,1.94819,1.08244,0.00557,0.0007888,0.0007888,0.0007888
34,600.918,1.99679,1.18873,0.00501,0.71972,0.61908,0.65112,0.33639,1.95778,1.02103,0.00564,0.0007822,0.0007822,0.0007822
35,618.375,2.01567,1.18582,0.00488,0.6361,0.64744,0.64783,0.31107,2.10001,1.08031,0.00608,0.0007756,0.0007756,0.0007756
